sId,studentId,ssId,status,isattended,attendedDate,acid
105311,3378,7210,1,1,7/15/2019 11:25,2
105312,3379,7210,1,1,7/15/2019 11:25,2
105313,3380,7210,1,1,7/15/2019 11:25,2
105314,3381,7210,1,1,7/15/2019 11:25,2
105315,3382,7210,1,1,7/15/2019 11:25,2
105316,3383,7210,1,1,7/15/2019 11:25,2
105317,3384,7210,1,1,7/15/2019 11:25,2
105318,3385,7210,1,1,7/15/2019 11:25,2
105319,3386,7210,1,1,7/15/2019 11:25,2
105320,3388,7210,1,1,7/15/2019 11:25,2
105321,3390,7210,1,1,7/15/2019 11:25,2
105322,3391,7210,1,1,7/15/2019 11:25,2
105323,3392,7210,1,1,7/15/2019 11:25,2
105324,3373,7211,1,1,7/15/2019 11:25,2
105325,3390,7211,1,1,7/15/2019 11:25,2
105326,3369,7212,1,1,7/15/2019 11:25,2
105327,3370,7212,1,1,7/15/2019 11:25,2
105328,3371,7212,1,1,7/15/2019 11:25,2
105329,3372,7212,1,1,7/15/2019 11:25,2
105330,3373,7212,1,1,7/15/2019 11:25,2
105331,3375,7212,1,1,7/15/2019 11:25,2
105332,3376,7212,1,1,7/15/2019 11:25,2
105333,3377,7212,1,1,7/15/2019 11:25,2
105334,3378,7212,1,1,7/15/2019 11:25,2
105335,3379,7212,1,1,7/15/2019 11:25,2
105336,3380,7212,1,1,7/15/2019 11:25,2
105337,3381,7212,1,1,7/15/2019 11:25,2
105338,3382,7212,1,1,7/15/2019 11:25,2
105339,3383,7212,1,1,7/15/2019 11:25,2
105340,3384,7212,1,1,7/15/2019 11:25,2
105341,3385,7212,1,1,7/15/2019 11:25,2
105342,3386,7212,1,1,7/15/2019 11:25,2
105343,3388,7212,1,1,7/15/2019 11:25,2
105344,3390,7212,1,1,7/15/2019 11:25,2
105345,3391,7212,1,1,7/15/2019 11:25,2
105346,3392,7212,1,1,7/15/2019 11:25,2
105347,3369,7214,1,1,7/15/2019 11:25,2
105348,3370,7214,1,1,7/15/2019 11:25,2
105349,3371,7214,1,1,7/15/2019 11:25,2
105350,3372,7214,1,1,7/15/2019 11:25,2
105351,3373,7214,1,1,7/15/2019 11:25,2
105352,3375,7214,1,1,7/15/2019 11:25,2
105353,3376,7214,1,1,7/15/2019 11:25,2
105354,3377,7214,1,1,7/15/2019 11:25,2
105355,3378,7214,1,1,7/15/2019 11:25,2
105356,3379,7214,1,1,7/15/2019 11:25,2
105357,3380,7214,1,1,7/15/2019 11:25,2
105358,3382,7214,1,1,7/15/2019 11:25,2
105359,3383,7214,1,1,7/15/2019 11:25,2
105360,3384,7214,1,1,7/15/2019 11:25,2
105361,3385,7214,1,1,7/15/2019 11:25,2
105362,3386,7214,1,1,7/15/2019 11:25,2
105363,3388,7214,1,1,7/15/2019 11:25,2
105364,3390,7214,1,1,7/15/2019 11:25,2
105365,3391,7214,1,1,7/15/2019 11:25,2
105366,3392,7214,1,1,7/15/2019 11:25,2
105367,3374,7335,1,1,7/15/2019 11:25,2
105368,3977,7335,1,1,7/15/2019 11:25,2
105369,3978,7335,1,1,7/15/2019 11:25,2
105370,3983,7335,1,1,7/15/2019 11:25,2
105371,3984,7335,1,1,7/15/2019 11:25,2
105372,3985,7335,1,1,7/15/2019 11:25,2
105373,3988,7335,1,1,7/15/2019 11:25,2
105374,3998,7335,1,1,7/15/2019 11:25,2
105375,4005,7335,1,1,7/15/2019 11:25,2
105376,4007,7335,1,1,7/15/2019 11:25,2
105377,4008,7335,1,1,7/15/2019 11:25,2
105378,4009,7335,1,1,7/15/2019 11:25,2
105379,4010,7335,1,1,7/15/2019 11:25,2
105380,4013,7335,1,1,7/15/2019 11:25,2
105381,4019,7335,1,1,7/15/2019 11:25,2
105382,5996,7335,1,1,7/15/2019 11:25,2
105383,5997,7335,1,1,7/15/2019 11:25,2
105384,6011,7335,1,1,7/15/2019 11:25,2
105385,6012,7335,1,1,7/15/2019 11:25,2
105386,6013,7335,1,1,7/15/2019 11:25,2
105387,6017,7335,1,1,7/15/2019 11:25,2
105388,6019,7335,1,1,7/15/2019 11:25,2
105389,3374,7219,1,1,7/15/2019 11:25,2
105390,3977,7219,1,1,7/15/2019 11:25,2
105391,3978,7219,1,1,7/15/2019 11:25,2
105392,3984,7219,1,1,7/15/2019 11:25,2
105393,3985,7219,1,1,7/15/2019 11:25,2
105394,3988,7219,1,1,7/15/2019 11:25,2
105395,3998,7219,1,1,7/15/2019 11:25,2
105396,4005,7219,1,1,7/15/2019 11:25,2
105397,4007,7219,1,1,7/15/2019 11:25,2
105398,4008,7219,1,1,7/15/2019 11:25,2
105399,4009,7219,1,1,7/15/2019 11:25,2
105400,4010,7219,1,1,7/15/2019 11:25,2
105401,4013,7219,1,1,7/15/2019 11:25,2
105402,4019,7219,1,1,7/15/2019 11:25,2
105403,5996,7219,1,1,7/15/2019 11:25,2
105404,5997,7219,1,1,7/15/2019 11:25,2
105405,6011,7219,1,1,7/15/2019 11:25,2
105406,6012,7219,1,1,7/15/2019 11:25,2
105407,6013,7219,1,1,7/15/2019 11:25,2
105408,6017,7219,1,1,7/15/2019 11:25,2
105409,6019,7219,1,1,7/15/2019 11:25,2
105410,3374,7220,1,1,7/15/2019 11:25,2
105411,3977,7220,1,1,7/15/2019 11:25,2
105412,3978,7220,1,1,7/15/2019 11:25,2
105413,3984,7220,1,1,7/15/2019 11:25,2
105414,3985,7220,1,1,7/15/2019 11:25,2
105415,3988,7220,1,1,7/15/2019 11:25,2
105416,3998,7220,1,1,7/15/2019 11:25,2
105417,4005,7220,1,1,7/15/2019 11:25,2
105418,4007,7220,1,1,7/15/2019 11:25,2
105419,4008,7220,1,1,7/15/2019 11:25,2
105420,4009,7220,1,1,7/15/2019 11:25,2
105421,4010,7220,1,1,7/15/2019 11:25,2
105422,4013,7220,1,1,7/15/2019 11:25,2
105423,4019,7220,1,1,7/15/2019 11:25,2
105424,5996,7220,1,1,7/15/2019 11:25,2
105425,5997,7220,1,1,7/15/2019 11:25,2
105426,6011,7220,1,1,7/15/2019 11:25,2
105427,6012,7220,1,1,7/15/2019 11:25,2
105428,6013,7220,1,1,7/15/2019 11:25,2
105429,6017,7220,1,1,7/15/2019 11:25,2
105430,6019,7220,1,1,7/15/2019 11:25,2
105431,3374,7222,1,1,7/15/2019 11:25,2
105432,3977,7222,1,1,7/15/2019 11:25,2
105433,3978,7222,1,1,7/15/2019 11:25,2
105434,3984,7222,1,1,7/15/2019 11:25,2
105435,3985,7222,1,1,7/15/2019 11:25,2
105436,3988,7222,1,1,7/15/2019 11:25,2
105437,3998,7222,1,1,7/15/2019 11:25,2
105438,4005,7222,1,1,7/15/2019 11:25,2
105439,4007,7222,1,1,7/15/2019 11:25,2
105440,4008,7222,1,1,7/15/2019 11:25,2
105441,4009,7222,1,1,7/15/2019 11:25,2
105442,4010,7222,1,1,7/15/2019 11:25,2
105443,4013,7222,1,1,7/15/2019 11:25,2
105444,4019,7222,1,1,7/15/2019 11:25,2
105445,5996,7222,1,1,7/15/2019 11:25,2
105446,5997,7222,1,1,7/15/2019 11:25,2
105447,6011,7222,1,1,7/15/2019 11:25,2
105448,6012,7222,1,1,7/15/2019 11:25,2
105449,6013,7222,1,1,7/15/2019 11:25,2
105450,6017,7222,1,1,7/15/2019 11:25,2
105451,6019,7222,1,1,7/15/2019 11:25,2
105452,3977,7223,1,1,7/15/2019 11:25,2
105453,3978,7223,1,1,7/15/2019 11:25,2
105454,3984,7223,1,1,7/15/2019 11:25,2
105455,3985,7223,1,1,7/15/2019 11:25,2
105456,3988,7223,1,1,7/15/2019 11:25,2
105457,3998,7223,1,1,7/15/2019 11:25,2
105458,4005,7223,1,1,7/15/2019 11:25,2
105459,4007,7223,1,1,7/15/2019 11:25,2
105460,4008,7223,1,1,7/15/2019 11:25,2
105461,4009,7223,1,1,7/15/2019 11:25,2
105462,4010,7223,1,1,7/15/2019 11:25,2
105463,4013,7223,1,1,7/15/2019 11:25,2
105464,4019,7223,1,1,7/15/2019 11:25,2
105465,3374,7223,1,1,7/15/2019 11:25,2
105466,6019,7223,1,1,7/15/2019 11:25,2
105467,6017,7223,1,1,7/15/2019 11:25,2
105468,5996,7223,1,1,7/15/2019 11:25,2
105469,6012,7223,1,1,7/15/2019 11:25,2
105470,6013,7223,1,1,7/15/2019 11:25,2
105471,6011,7223,1,1,7/15/2019 11:25,2
105472,5997,7223,1,1,7/15/2019 11:25,2
105473,3374,7224,1,1,7/15/2019 11:25,2
105474,3977,7224,1,1,7/15/2019 11:25,2
105475,3978,7224,1,1,7/15/2019 11:25,2
105476,3984,7224,1,1,7/15/2019 11:25,2
105477,3985,7224,1,1,7/15/2019 11:25,2
105478,3988,7224,1,1,7/15/2019 11:25,2
105479,3998,7224,1,1,7/15/2019 11:25,2
105480,4005,7224,1,1,7/15/2019 11:25,2
105481,4007,7224,1,1,7/15/2019 11:25,2
105482,4008,7224,1,1,7/15/2019 11:25,2
105483,4009,7224,1,1,7/15/2019 11:25,2
105484,4010,7224,1,1,7/15/2019 11:25,2
105485,4013,7224,1,1,7/15/2019 11:25,2
105486,4019,7224,1,1,7/15/2019 11:25,2
105487,5996,7224,1,1,7/15/2019 11:25,2
105488,5997,7224,1,1,7/15/2019 11:25,2
105489,6011,7224,1,1,7/15/2019 11:25,2
105490,6012,7224,1,1,7/15/2019 11:25,2
105491,6013,7224,1,1,7/15/2019 11:25,2
105492,6017,7224,1,1,7/15/2019 11:25,2
105493,6019,7224,1,1,7/15/2019 11:25,2
105494,3977,7221,1,1,7/15/2019 11:25,2
105495,3978,7221,1,1,7/15/2019 11:25,2
105496,3983,7221,1,1,7/15/2019 11:25,2
105497,3984,7221,1,1,7/15/2019 11:25,2
105498,3985,7221,1,1,7/15/2019 11:25,2
105499,3988,7221,1,1,7/15/2019 11:25,2
105500,3998,7221,1,1,7/15/2019 11:25,2
105501,4005,7221,1,1,7/15/2019 11:25,2
105502,4007,7221,1,1,7/15/2019 11:25,2
105503,4008,7221,1,1,7/15/2019 11:25,2
105504,4009,7221,1,1,7/15/2019 11:25,2
105505,4010,7221,1,1,7/15/2019 11:25,2
105506,4013,7221,1,1,7/15/2019 11:25,2
105507,4019,7221,1,1,7/15/2019 11:25,2
105508,3374,7221,1,1,7/15/2019 11:25,2
105509,6019,7221,1,1,7/15/2019 11:25,2
105510,6017,7221,1,1,7/15/2019 11:25,2
105511,5996,7221,1,1,7/15/2019 11:25,2
105512,6012,7221,1,1,7/15/2019 11:25,2
105513,6013,7221,1,1,7/15/2019 11:25,2
105514,6011,7221,1,1,7/15/2019 11:25,2
105515,5997,7221,1,1,7/15/2019 11:25,2
105516,3374,7217,1,1,7/15/2019 11:25,2
105517,3977,7217,1,1,7/15/2019 11:25,2
105518,3978,7217,1,1,7/15/2019 11:25,2
105519,3983,7217,1,1,7/15/2019 11:25,2
105520,3984,7217,1,1,7/15/2019 11:25,2
105521,3985,7217,1,1,7/15/2019 11:25,2
105522,3988,7217,1,1,7/15/2019 11:25,2
105523,3998,7217,1,1,7/15/2019 11:25,2
105524,4005,7217,1,1,7/15/2019 11:25,2
105525,4007,7217,1,1,7/15/2019 11:25,2
105526,4008,7217,1,1,7/15/2019 11:25,2
105527,4009,7217,1,1,7/15/2019 11:25,2
105528,4010,7217,1,1,7/15/2019 11:25,2
105529,4013,7217,1,1,7/15/2019 11:25,2
105530,4019,7217,1,1,7/15/2019 11:25,2
105531,5996,7217,1,1,7/15/2019 11:25,2
105532,5997,7217,1,1,7/15/2019 11:25,2
105533,6011,7217,1,1,7/15/2019 11:25,2
105534,6012,7217,1,1,7/15/2019 11:25,2
105535,6013,7217,1,1,7/15/2019 11:25,2
105536,6017,7217,1,1,7/15/2019 11:25,2
105537,6019,7217,1,1,7/15/2019 11:25,2
105538,5252,7228,1,1,7/15/2019 11:26,2
105539,5254,7228,1,1,7/15/2019 11:26,2
105540,5263,7228,1,1,7/15/2019 11:26,2
105541,5265,7228,1,1,7/15/2019 11:26,2
105542,5267,7228,1,1,7/15/2019 11:26,2
105543,5276,7228,1,1,7/15/2019 11:26,2
