subId,subjectName,subjectType,subName
1588,Vehicle Dynamics,Theory,AU403
1589,Automotive Refrigeration & Air Conditioning,Theory,AU405
1590,Advanced I C Engines,Theory,AU407
1591,Simulation & Analysis of IC Engine Processes,Theory,AU409
1592,Autotronics Lab,Lab,AU431
1593,Internet Working with TCP/IP,Theory,IT405
1594,Knowledge Engineering,Theory,IT407
1595,Web Application Development,Theory,IT409
1596,Wave Hydrodynamics and Coastal Engineering,Elective 3,CE461
1597,Geo-Environmental Engineering,Elective 3,CE465
1598,Highway Pavement Design,Elective 3,CE467
1599,Environmental Impact Assessment,Elective 3,CE469
1600,Advanced Computational Techniques and Optimization,Elective 3,CE473
1601,Aerospace Engineering,Elective 3,ME461
1602,Automobile Engineering,Elective 3,ME463
1603,Industrial Hydraulics,Elective 3,ME465
1604,Supply Chain and Logistics Management,Elective 3,IE306
1605,Cryogenic Engineering,Elective 3,ME467
1606,Modern Operating Systems,Elective 3,EE461
1607,Computer Aided Power Systems Analysis,Elective 3,EE463
1608,Nonlinear Control Systems,Elective 3,EE467
1609,Electric and Hybrid Vehicles,Elective 3,EE469
1610,Microwave Devices and Circuits,Elective 3,EC461
1611,Speech and Audio Signal Processing,Elective 3,EC463
1612,MEMS,Elective 3,EC465
1613,Pattern Recognition,Elective 3,EC467
1614,Opto Electronic Devices,Elective 3,EC469
1615,Computational Geometry,Elective 3,CS461
1616,Bio Informatics,Elective 3,CS465
1617,Machine Learning,Elective 3,CS467
1618,Computational complexity,Elective 3,CS469
1619,Petroleum Refinery Engineering,Elective 3,CH461
1620,Enzyme Engineering,Elective 3,CH463
1621,Process Optimization,Elective 3,CH465
1622,Mathematical Methods in Process Engineering,Elective 3,CH469
1623,Solid Waste Management,Elective 3,CH471
1624,Automotive Comfort & Safety Engineering,Elective 3,AU461
1625,Operation Management in Auto Industry,Elective 3,AU463
1626,Product Design & Life Cycle Management,Elective 3,AU465
1627,Vehicle Transport & Fleet Management,Elective 3,AU410
1628,Software Testing & Quality Assurance,Elective 3,IT461
1629,Semantic Web,Elective 3,IT463
1630,MATHEMATICAL METHODS FOR NANOTECHNOLOGY,Theory,04CH6101
1631,PHYSICS OF MATERIALS,Theory,04CH6105
1632,LAB I,Lab,04CH6193
1633,Nano Chemistry,Elective,04CH6109
1634,Carbon Nanomaterial Science and Technology,Elective,04CH6111
1635,Nanocomposites,Elective,04CH6113
1636,Semiconductor Nanostructures& Nano-particles,Elective,04CH6115
1637,Pre-stressed Concrete Structures,Elective,04CE6109
1638,Structural Reliability,Elective,04CE6111
1639,Construction and Contracts Management,Elective,04CE6409
1640,Prestressed Concrete Structures,Elective,04CE6415
1641,Computer Application Lab,Lab,04CE6493
1642,Advanced Optical  Communication,Elective,04EC6309
1643,Real Time Embedded System Design,Elective,04EC6313
1644,Antenna Theory and Design,Elective,04EC6315
1645,Web Services,Elective,04CS6109
1646,Logic in computer Science,Elective,04CS6113
1647,Social Network Analytics,Elective,04CS6115
1648,Seminar -1,Lab,04CS6191
1649,Non Conventional Energy Sources,Theory,04EE6501
